price,sqft_living,bedrooms,bathrooms,floors
221900,1180,3,1,1
538000,2570,3,2.25,2
180000,770,2,1,1
604000,1960,4,3,1
510000,1680,3,2,1
1225000,5420,4,4.5,1
257500,1715,3,2.25,2
291850,1060,3,1.5,1
229500,1780,3,1,1
323000,1890,3,2.5,2
662500,3560,3,2.5,1
468000,1160,2,1,1
310000,1430,3,1,1.5
400000,1370,3,1.75,1
530000,1810,5,2,1.5
650000,2950,4,3,2
395000,1890,3,2,2
485000,1600,4,1,1.5
189000,1200,2,1,1
230000,1250,3,1,1
385000,1620,4,1.75,1
2000000,3050,3,2.75,1
285000,2270,5,2.5,2
252700,1070,2,1.5,1
329000,2450,3,2.25,2
233000,1710,3,2,1.5
937000,2450,3,1.75,2
667000,1400,3,1,1.5
438000,1520,3,1.75,1
719000,2570,4,2.5,2
580500,2320,3,2.5,2
280000,1190,2,1.5,3
687500,2330,4,1.75,1.5
535000,1090,3,1,1.5
322500,2060,4,2.75,1
696000,2300,3,2.5,1.5
550000,1660,4,1,1
640000,2360,4,2,2
240000,1220,4,1,1
605000,2620,4,2.5,2
625000,2570,4,2.5,2
775000,4220,4,2.25,1
861990,3595,5,2.75,2
685000,1570,3,1,2
309000,1280,3,1,1
488000,3160,3,2.5,2
210490,990,3,1,1
785000,2290,4,2.5,2
450000,1250,3,1.75,1
1350000,2753,3,2.5,1
228000,1190,3,1,1
345000,3150,5,2.5,1
600000,1410,3,1.75,1
585000,1980,2,1.75,1
920000,2730,5,2.25,1.5
885000,2830,4,2.5,2
292500,2250,4,2.5,2
301000,2420,3,2.5,2
951000,3250,5,3.25,2
430000,1850,4,3,2
650000,2150,3,2.25,1
289000,1260,3,1.75,1
505000,2519,3,1.75,2
549000,1540,3,1.75,3
425000,1660,3,2.25,1
317625,2770,3,2.75,1.5
975000,2720,4,2.5,2
287000,2240,4,2.5,2
204000,1000,3,1,1
1325000,3200,5,2.25,1
1040000,4770,5,3.25,1
325000,1260,3,2,1
571000,2750,4,2,1.5
360000,2380,4,2.5,2
349000,1790,3,1.75,1
832500,3430,4,4,2
380000,1760,4,1.75,1
480000,1040,3,1,1
410000,1410,3,1,1
720000,3450,4,2.5,2
390000,2350,3,2.5,2
360000,1900,4,2.5,2
355000,2020,2,1,1
356000,1680,3,1.5,1
315000,960,3,1,1
940000,2140,3,1.5,2
305000,2660,5,2.25,1.5
461000,2770,3,3.25,2
215000,1610,2,2.25,2
335000,1030,2,1.75,2
243500,1980,4,2.5,2
1099880,3520,5,2.75,2
153000,1200,3,1,1
430000,1580,3,1.5,1
700000,1580,3,1.5,1
905000,3300,4,2.5,1
247500,1960,3,1.75,1
199000,1160,4,1.5,1
314000,1810,3,1.75,1
437500,2320,3,2.5,2
850830,2070,3,2.5,1.5
555000,1980,3,2,1.5
699950,2190,3,2.25,2
1088000,2920,3,2.5,2
290000,1210,3,1,1
375000,2340,3,2.5,1
460000,1670,3,1,1.5
188500,1240,2,1.75,1
680000,3140,4,2.5,2
470000,2030,5,1.75,2
597750,2310,4,2.5,2
570000,1260,3,1.75,1
272500,1540,3,1.75,1
329950,2080,3,1.75,1
480000,3230,4,2.5,2
740500,4380,3,3.5,2
518500,1590,3,3.5,3
205425,880,2,1,1
171800,1570,4,2,1
535000,1610,4,1,1.5
660000,2400,3,2.5,1
391500,1450,3,2,1
395000,770,2,1,1
445000,2100,4,1.75,1.5
770000,2910,3,2.25,2
1450000,2750,4,2.75,1.5
445000,2100,3,2.25,1
260000,2160,4,2.25,1
822500,2320,5,3.5,2
430000,2070,4,2.5,2
212000,1060,3,1.75,1
660500,2010,4,2.25,1
784000,3950,3,3.5,1.5
453246,2010,3,2.5,2
675000,2140,4,3.5,3
199000,1320,3,1.75,1
220000,2020,4,1.75,1
452000,2590,4,2.25,1
382500,1190,2,1,1
519950,1170,3,2.25,3
665000,1110,2,1,1
527700,2820,5,2.5,1
205000,1610,3,1,1
420000,1060,3,1,1
500000,2030,4,2.25,1
921500,3670,4,2.5,2
890000,2550,4,1,2
430000,2420,2,2.5,2
258000,2260,5,2,1
511000,1430,3,1,1
532170,1360,3,2,2
560000,1110,3,1,1.5
282950,1250,3,1,1
2250000,5180,4,3.25,2
350000,700,1,1,1
215000,1180,3,1,1
650000,3960,5,3.5,2
320000,2640,4,2.75,1
247000,1270,3,2,1.5
320000,1760,4,1.75,1
255000,2060,5,2.25,1
438000,1780,3,1.75,1
900000,3400,3,2.5,2
441000,1910,3,2.75,1
420000,2020,3,2,1
370000,1580,3,1.75,1
269950,1340,2,1.75,1
807100,2680,4,2.5,2
653000,2680,3,2.5,1
371500,1370,3,2,1
284000,1560,3,1.75,1
272000,2160,3,1.75,1
313000,1340,3,1.5,1.5
917500,3880,4,2.5,2
673000,2590,4,2.25,2
425000,1120,3,2.5,2
399950,1970,5,2.75,1
385000,1220,3,1,1
269950,1950,3,1.5,1
330000,1350,2,1,1
260000,1670,3,2.5,2
470000,2380,4,3,1.5
589000,2440,4,3,2
163500,1050,2,1.5,2
835000,3130,4,2.75,2
1095000,4090,5,3,1
269000,1490,4,1.75,1
560000,1900,3,2.5,2
615000,1330,4,1,1.5
585188,2230,3,2.25,1
305000,1650,3,1.75,1
166950,1190,3,1,1
799000,2140,3,2.5,1
400000,2180,3,2.5,1
230000,1060,3,1,1
256883,1690,3,2.5,2
423000,1970,4,2,1.5
465000,2150,3,2.5,2
440000,1910,3,2.5,2
385000,1350,3,1.75,1
210000,860,3,1,1
297000,1940,3,2.5,2
470000,1010,3,1,1
226500,1300,3,1.5,1
274250,910,3,1,1
840000,2480,4,1.75,1
677900,2440,3,2.5,2
425000,1010,3,1,1
180250,900,2,0.75,1
464000,2300,6,3,2
320000,1550,4,2.25,2
625504,1270,3,2.25,2
592500,2240,4,2.5,1
465000,2714,3,2.5,2
477000,1720,4,2.75,2
280000,850,2,1,1
1505000,3300,5,3,1
445838,2250,3,2.5,2
1072000,3900,2,2.25,1
467000,1320,2,1.5,1
686000,2760,4,2.5,2
279950,1750,3,2,1
527000,2330,4,2.25,2
325000,2220,3,2.25,1
328000,2020,3,2.25,2
390000,1250,3,2.25,1
479950,1510,2,2,1
264950,1720,4,2.25,1
235000,1430,3,1,1
516500,1480,3,2.5,2
655000,1450,2,1.75,2
500000,2280,4,2.75,1
315000,2940,6,2.75,1
213000,1000,2,1,1
475000,2480,3,1.5,1.5
1025000,3760,5,4,2
416000,2220,3,2,1
410000,1970,4,1,1.5
800000,3830,3,3.5,2
472000,4410,6,2.5,1
225000,1430,3,1.75,1
210000,830,2,1,1
455000,1430,2,1,1.5
225000,1300,3,1,1
480000,1030,2,1,1
363000,2740,3,2.5,2
2400000,3650,4,2.5,1
181000,720,2,1.5,1
250000,2010,4,2,1
481000,1560,3,1.75,1
260000,1810,3,2,1
455000,3360,4,2.5,2
415000,1510,3,2.25,2
349500,1400,3,1,1
245000,1730,3,2.5,2
592500,1420,2,2,1.5
385000,2360,4,1.75,1
315000,1580,3,1.75,1
255000,1230,3,1,1
693000,2460,4,2.5,2
780000,1660,3,1,1.5
237000,1270,3,1.75,1
525000,2100,3,2.25,2
425000,770,2,1,1
369900,760,1,0.75,1
290000,1700,4,2.5,2
285000,1120,3,1,1
415000,1070,2,1,1
272500,2070,3,2.5,1
2900000,5050,4,3.25,1.5
1365000,5310,4,4.75,2
436000,1040,2,1,1
210000,1700,3,1,1
236000,1300,3,1,1
331000,1080,3,1.75,1
365000,2653,3,2.5,2
450000,2290,3,2,1
770000,3820,4,2.75,2
455000,2210,4,2.5,1
405000,2390,3,1.75,1
304900,2600,4,1.75,1
170000,860,2,1,1
2050000,3830,5,3,2
780000,3500,4,2.5,2
330000,2420,3,3,1
370000,2720,4,2.5,2
467000,2500,5,2.25,1
405000,1670,3,1.75,1
675000,2900,5,2.25,1
500000,1640,2,1,1
389999,1890,4,2.5,2
630000,2950,4,1.75,1
360000,2160,4,2.5,2
580000,3280,4,3,2
550000,1970,3,2,2
879000,3360,4,2.5,2
265000,1320,3,2,1
446500,2650,3,2.5,2
404000,2030,3,1.5,1
267500,1590,3,1.75,1
3075000,4550,4,5,1
335000,2440,3,2.5,2
576000,1940,3,2.5,1
208633,2040,3,2.5,2
315000,2200,3,2.25,1
725000,1920,3,1.75,1
550000,1800,4,2.75,1
610750,2180,4,2.25,2
550700,1010,2,1,1.5
665000,3320,4,2.75,2
834000,2370,4,2.5,1.5
201000,1660,5,1.75,1.5
2384000,3650,5,2.5,2
1384000,4290,4,3.25,1
1400000,4290,4,3.25,1
305000,1950,4,2.25,1
487000,2590,3,2,1
390000,1930,3,2.5,1
548000,1470,2,1,1
268750,800,4,1,1
819900,3150,5,2.75,2
520000,2030,3,2.25,2
230000,1450,3,2,1
240000,1510,3,1.75,1
232000,1240,2,1,1
240500,1240,2,1,1
274975,3030,3,2.5,2
740000,2050,4,2,1.5
186375,1000,3,1,1
790000,2370,3,2.25,1
880000,2800,4,3.5,2
279000,2240,6,1.75,2
295000,1810,3,2,1
640000,1070,2,1,1
940000,2490,4,2,2
260000,1960,4,2.5,2
559900,2930,3,2.75,1
791500,1510,4,2,1.5
265000,1420,3,1.75,1
245000,1740,3,1.75,1
485000,2560,4,1.75,2
684000,3040,4,3.5,2
425000,2500,3,1.75,1
309600,1275,4,1.75,1
552250,2580,4,2.5,2
165000,1000,4,1,1
239900,1000,4,1,1
320000,1070,2,1,1
206600,1390,3,2,1
387000,2500,4,1.75,1
299000,560,1,0.75,1
855000,2270,4,2.75,2
315000,1900,3,1,1
437500,990,2,1,1
252000,1550,4,1.5,1
375000,2200,4,1.75,1
300000,1910,4,2.5,2
420000,1750,4,1,1.5
900000,1330,3,1,1
679900,2440,3,2.5,2
463000,1640,3,2.5,2
380000,2760,5,2.5,2
329500,1820,4,2.5,2
604950,2110,3,2.5,1
795000,3040,5,2.5,1
465000,1840,3,2,2
673000,2990,4,2.5,2
810000,3520,4,2.5,2
785000,2440,4,2.75,1
338000,2090,4,3,1
280000,1430,3,2.25,2
315000,2180,4,2.25,1
530000,2180,4,2.25,1
380000,3450,5,3,2
297000,1450,3,2.25,2
730000,3230,4,2.5,2
450000,1640,3,1.75,1
275000,1590,3,3,1
595000,2020,4,2,2
435000,1300,3,1.5,1.5
270000,1380,2,1.5,1
950000,4040,3,3,2
389000,2130,4,2.25,2
560000,2550,4,2.25,1
1350000,4800,5,3.5,2
799000,2510,4,2.25,2
365500,1410,3,2,1
252350,1650,3,2,1
403950,2120,4,2.5,2
385000,2040,4,1.5,1
345000,1550,4,1,1.5
490000,1980,3,2.75,2
330000,1600,3,2.5,2
927000,3300,4,2.75,2
1118000,3840,4,2.5,2
330000,1220,2,1,1
530000,2720,5,2.25,1
365000,1940,4,2,1
378750,2160,3,2.5,1.5
269900,1530,4,1.75,1.5
557000,1710,3,3.5,2
360000,3730,4,1.75,1
352000,940,2,1,1
437000,1750,3,2.5,2
322500,1820,4,2.5,2
650000,1510,3,3.25,2
450000,1290,3,2,3
278500,1570,3,2,1
364950,1930,4,2.5,2
840000,2840,4,3.5,1
268000,1550,3,2.5,2
517534,833,2,1,1
632925,2990,3,2.5,2
577500,2000,3,2.5,2
339000,2390,4,1.5,1.5
570000,2910,3,1.75,1
563500,2085,4,1.75,1
423000,2200,4,2.25,1
355000,1860,3,2.25,2
1550000,6070,5,4.25,2
482000,950,2,1,1
625000,1600,3,1.75,1
538000,2250,3,2.5,2
380000,2280,3,2.5,2
375000,940,2,1,1
245000,1530,3,2.5,1
310000,2190,5,1.75,1
1300000,2350,3,2,1
397000,1440,4,2,1
365000,2200,3,2.5,2
328500,2290,4,3,2
988000,4040,4,3,2
1000000,2610,4,2.5,1.5
237000,1490,3,2.5,2
525000,2450,4,2.5,2
749000,1710,4,2.5,1
722500,4870,5,2.5,2
843000,3130,3,2.5,2
438000,1270,2,2,3
578000,2120,3,1.75,1
227950,1670,3,1.5,1
196000,2070,3,2.25,2
641000,1420,2,1,1
350000,1250,3,1.5,1
205000,940,3,1,1
400000,1920,3,1.75,1
1030000,3545,3,2.5,1
505000,1260,3,2,1
475000,2340,5,2.5,1
520000,2590,3,2.25,1
1450000,3970,3,4.5,2
333500,1220,3,1.75,1
232000,1400,3,1,1
691100,2360,3,2.75,1
811000,1870,3,1.75,1
551000,2830,3,2.5,2
496500,2260,3,2.5,2
705000,1970,3,3,2
578000,3140,4,2.5,1
255000,1240,3,1.75,1
1050000,3450,4,3.5,2
348000,2570,3,2.25,2
230000,1510,3,2,2
359500,2390,4,2.25,2
330000,980,3,1,1
80000,430,1,0.75,1
465000,1480,3,1.75,1
325000,1850,4,2.5,2
340500,2270,3,2,1
342500,1810,3,2.5,2
290900,1610,2,2,2
868700,3840,3,4.25,2
1199000,4110,4,2.75,2
1150000,4190,4,3.25,2
859900,3390,4,2.75,2
520000,1890,4,2.25,2
460000,1610,3,2.5,2
438924,1050,3,1.5,1
315000,630,2,1,1
590000,2910,4,2.75,1
378500,1700,4,1.75,1
328500,1950,3,2.5,2
849950,2990,3,3,2
525000,1350,3,1.5,1
1385000,4860,4,3.25,2.5
295000,2160,4,2.5,1
1067000,4860,6,3.5,2
207950,890,2,2,1
699900,2810,4,2.75,2
1280000,3400,5,2.5,2
452000,1580,4,1.5,1
370000,1680,3,2,1
232000,1300,3,1.75,1
669950,2820,5,2.5,2
397500,1510,3,2,1
490000,1230,2,2.5,2
725000,2110,4,2,2
299000,3080,3,2.75,1
625000,1490,2,1.5,1.5
437500,2120,3,2.5,2
650000,3180,4,2.5,2
475000,1490,2,1,1
342000,1930,3,2,1
1197354,2770,4,2.5,2
280000,1670,3,1.5,1
240000,1330,2,1.75,1
529000,1210,3,1,1.5
442000,1190,3,1,1
615000,1540,2,1,1
1485000,4030,4,3.75,2
585000,2430,4,1.75,1
480000,2600,4,2.5,2
1095000,4410,5,3.5,2
290000,1330,4,1,1.5
615000,1900,3,1.75,1
300000,1100,2,1,1
308000,1980,3,1,1.5
750000,2400,3,2.5,2
2250000,4760,4,2.25,2.5
890000,3180,4,3.25,2
288000,1190,3,1,1
190000,630,2,1,1
515000,2530,5,3,1
235000,1690,4,1.5,1
275000,940,2,1,1
727500,1240,2,2,1
650000,3040,4,2.5,2
1600000,6050,6,5,2
365000,1590,4,1,1.5
662000,2500,3,1.75,1
270500,1780,3,2.5,1
200000,1360,2,1.5,2
970000,4740,4,3.25,2
160000,1010,3,1.5,1
204000,1040,3,1,1
358000,1610,3,2.25,2
452000,1570,4,1.75,1
595000,1510,2,2,1
249000,1360,3,2,1
346900,1970,4,2.5,2
2125000,5403,3,2.5,2
280000,1560,4,2.5,2
318888,2320,4,1.75,1
530000,2120,3,2.25,1
375000,2120,3,2.25,2
910000,3350,4,2.5,2
782000,2380,4,2.5,2
259950,1070,2,2,2
315000,2300,4,2.75,1
215000,1320,2,1,1
705000,2180,3,1.75,1
1450000,4380,3,3,2
451000,1790,3,1.75,2
261000,750,2,1,1
396000,1300,3,1.5,1
725000,2990,4,2.5,2
1950000,4640,7,3.5,2
238000,1400,4,1,1.5
750000,2750,6,1.75,2
331500,2050,4,2.5,2
460000,2230,4,3,1
404950,2340,4,2.25,1
880000,2870,3,2.5,2
863000,4120,4,2.5,2
638700,2080,3,1.75,1
435000,1840,3,2.5,2
260000,1180,3,1,1.5
671500,2160,5,2.75,1.5
610000,1180,3,1,1.5
405000,1160,2,0.75,1
338900,1830,4,2.5,2
720000,3200,4,4,2
442000,2560,5,3,1.5
650000,2550,5,2.75,1.5
263500,1330,3,1.75,1
300000,1220,2,1,1
266000,1805,3,2.5,2
930000,6050,4,4,2.5
530000,2320,4,2.5,2
180000,1384,3,1,1
619000,2720,3,2.5,2
264000,1820,3,1.5,1
730000,2130,2,2.25,1.5
439000,2060,4,2.25,2
268500,1420,4,1.75,1
330000,1510,3,1.75,1
640000,2160,3,2.5,1.5
900000,3180,3,2.5,2
370000,2110,3,2.25,2
685000,2060,3,2,1.5
505000,1830,3,1.5,1
265000,1820,3,1.75,1
290000,1610,3,2.5,2
296000,1780,4,2.5,2
360000,1840,4,2.5,2
240500,1460,3,1.75,1
372500,1400,2,2.5,2
595000,3370,3,2.5,2
515000,3590,4,3,2
1220000,3200,4,2.25,2
507000,1670,2,1.75,1
399950,2420,4,2,1
185000,1430,3,1.75,2
460000,1440,3,1.75,1
435500,1450,3,2.25,2
469000,3550,4,2.75,1
531000,1270,2,3,2
443500,940,2,1,1
223000,1670,3,2,1
590000,3100,4,3.5,2
340000,1100,2,2.5,3
650000,1870,3,2,1
533600,1930,3,2.5,2
695000,2540,3,2.75,2
242000,1280,3,1.75,1.5
425000,1820,3,2.25,1
525000,1490,3,2.25,2
485000,1880,3,2.5,2
175000,1250,3,1,1
210000,1440,3,2,1
260000,1920,3,2.5,2
577000,2060,3,2.5,1
200000,1210,3,1.5,1
605000,1760,2,1.75,1
325000,990,3,1,1
289500,960,3,1,1
559950,1660,3,2.5,3
1042500,1900,3,1.75,1
543500,1270,3,2.25,1
480000,3250,4,2.25,2
218000,960,3,1,1
565000,1330,2,1.75,1
426700,2080,3,1.75,1
650000,2690,3,2.5,1
542000,890,2,1,1
415000,1070,3,1.75,1
214000,1200,3,1,1
245000,1360,3,1.5,2
314500,2050,3,2,1
1120000,3000,3,1.5,2
378000,1300,2,2,1
305000,2250,4,2.5,1
595000,3740,5,2.75,1
729500,1660,3,2.5,3
430000,2360,3,2.5,2
240000,1760,3,1.75,1
545000,1680,3,1.75,1.5
530000,1320,3,1.75,1
157000,870,1,1,1
425000,1260,4,1,1.5
220000,1000,3,1,1
521000,2020,4,1.75,1
325000,1920,3,1,1
597500,2150,3,2,1.5
337000,1470,3,2.5,2
1000000,3180,3,2.5,2
3070000,3930,3,2.5,1
495000,990,3,1,1
748000,2770,4,3.5,2
888000,1250,3,1.5,1
269900,1140,3,1.75,1
496500,2250,4,2.5,1
475000,1640,3,2.5,2
312000,1255,3,1.5,3
323000,1290,3,1,1
331000,1300,3,1.75,1
306000,1220,3,1.5,3
655000,2630,4,2.5,3
290000,1950,3,1.5,1
1250000,3160,4,3.25,2
460000,1550,3,1.75,1
435000,1700,4,2.5,1
664000,2510,4,2.75,1
865000,1800,4,1.75,2
385000,1800,3,1.75,1
497000,1870,3,2.25,1
280000,1010,2,1,1
188000,1120,2,1.5,1
478500,2090,3,1,1
1145000,4370,4,3.5,2
222000,1440,3,2,1
799000,2580,4,3,2
609900,3190,4,2.5,2
413000,2380,4,3.5,2
400000,1420,4,1,1.5
802541,2990,5,2.75,2
320000,2680,3,2.5,2
507000,2730,4,2.5,2
387500,1220,3,1,1
396000,1500,3,1,1
373000,1830,3,1.75,1
1484900,4570,5,2.5,2
359900,2470,4,2.25,2
410000,800,2,1,1
690000,2900,4,2.5,2
245000,1410,3,2,1
700000,2830,5,2.5,1
268000,1680,4,1.75,1
225000,1760,3,1.75,1
980000,2240,4,2.25,2
795000,1380,2,1,1.5
195000,820,2,1,1
480000,2180,4,2,1
485000,1400,4,2,1
130000,880,2,1,1
325000,1060,2,1,1
440000,1530,3,1.75,1
550000,2480,4,1.75,1
310000,1490,3,1.75,1
530000,3660,3,2.5,2
390000,2340,4,2.5,2
243000,1450,3,1.75,1
639000,2210,4,2.5,2
215000,1130,4,1,1
405000,1550,5,1.75,1
250000,1710,4,1.75,1
405500,1010,3,1.5,1
452000,2660,6,2.25,2
730000,2660,6,2.25,2
267000,1300,3,2,1
289950,1670,3,2.5,2
565000,960,2,1,1
1578000,4670,4,3.25,2
636000,2140,3,2.5,2
350000,2520,5,3,1
320000,1650,3,1.5,1
210000,1440,2,1.75,1
245000,1050,2,1,1
328000,1470,3,1.75,1
985000,4230,4,2.25,2
501000,1970,3,1.75,1
315000,1540,3,2.25,2
403000,2090,3,2.75,2
550000,2380,3,2,2
347500,2156,4,2.5,2
365000,2070,4,2.25,2
588000,1910,3,1,1
605000,1920,3,1.75,1
1300000,3400,3,3.25,2
233000,1400,3,2,1
360000,2210,4,2.5,2
459000,1170,2,1.75,1
740000,2100,3,2,1
305000,1160,3,1,1
395000,1500,3,1,1
560000,2940,4,2.5,2
650000,2010,4,1.75,1
449950,2170,3,2.5,2
517500,1430,3,1.5,1
435000,1510,4,1.5,1
329999,1150,3,1,1
950000,2150,3,1.75,1
447000,1370,3,1,1
699800,2380,2,2.5,1
850000,1370,3,1.75,1
316500,1600,3,1.75,1
942500,3750,5,3.5,1
1310000,3950,2,2.25,2
856600,2400,4,2.25,1
405600,2830,5,1.5,2.5
565000,2440,4,2.5,2
400000,1190,3,2.25,2
330000,1400,3,2,1
374950,2730,4,2.75,2
405300,2390,3,2.75,1
560000,2060,3,2.25,2
824000,2490,4,2.25,1
260000,1100,3,1.75,1
760000,2430,4,2.5,1
405000,3170,3,2.5,2
429900,2640,4,2.5,2
341500,1130,3,1.5,1
465250,1940,5,2,1.5
450000,1100,2,2,1.5
390000,1200,3,1,1
420000,2000,3,2.25,1
269950,1890,3,2.5,2
493000,1910,4,2,1
370000,2710,4,2.5,2
2250000,4860,5,4.25,1.5
305000,1250,3,1,1
400000,1590,3,1.75,1.5
320000,1240,3,1.5,2
715000,2000,4,1,2
650000,3610,6,2.75,1.5
218000,1930,5,1.75,1
500000,1280,2,1,1
460000,2090,4,2,1
232500,1940,3,1.5,1
408200,1800,3,2.5,2
522000,1730,3,1.75,1
675000,2810,4,2.5,2
1355000,3550,4,3.5,1
249950,1330,4,1,1.5
210000,750,2,1,1
429950,1760,4,1,1
737500,3200,4,2.5,2
710000,1740,4,2,1
470000,2100,3,2.5,2
1100000,4270,4,3.5,1
650000,1340,3,2,1.5
1216000,3190,4,2.5,1
422120,1630,3,2.5,2
625000,2990,5,2.5,2
385200,1550,4,1,1.5
500000,1690,3,2.25,2
308000,1960,4,2.25,2
565000,2390,3,2.75,1
581000,2600,3,2.5,2
361000,1950,3,2,1
345000,1250,3,1,1
419000,1180,2,2.25,2
347000,1680,3,2.5,2
625000,2220,4,2.25,2
2400000,4890,4,4.25,2
379000,2660,3,3.25,2.5
310000,1150,3,1.5,2
250000,1130,2,2,1
682000,2760,5,2.75,2
246500,1430,3,2,1
325000,1490,3,1,1.5
310950,2030,4,2.5,2
1100000,3010,3,2,2
287500,1810,3,1,1
431000,1810,3,1,1
226000,970,3,1,1
825000,2010,3,1.75,1.5
175000,1300,4,1,1.5
465750,1260,3,1.5,1
659000,2610,4,2.25,2
595000,1910,3,1.75,1
350000,1780,3,2.25,2
270000,1900,4,2.25,1
662500,2450,6,2.25,1
249900,1380,3,1.75,1
324500,1920,3,1.75,1
430000,1350,2,1.75,1
419950,1350,2,1.75,1
285000,2510,4,1.75,1
332000,2470,4,2.5,2
282000,1660,4,1.75,1
320000,1340,3,1,1
428750,1620,3,1,1.5
330000,2300,3,2.25,2
456500,2000,4,3.5,3
352000,1640,3,2.25,1
664000,1530,4,2,1.5
628000,4000,3,1.75,1
512000,1610,3,1.75,1
254000,2070,3,2,1
535800,1900,4,2.5,2
287653,1050,3,1,1
438000,1520,3,2.5,2
450000,2390,4,1.75,1
327000,2400,5,2.75,2
370500,1790,4,2.5,2
265000,1720,3,2.5,2
450000,2980,4,2.75,1
425000,1520,3,1,1.5
166600,1150,3,1.75,1
245000,380,1,0.75,1
565000,910,3,1,1
539900,1650,3,1.75,1
910000,2480,3,3.5,2
280000,2050,4,2.5,2
275000,1420,3,2.25,2
467000,3460,3,2.5,2
457500,1500,3,2.5,2
381156,1320,2,1,1
289999,2180,5,2.5,1
642450,1830,3,1.75,1
469950,1620,3,2.25,1
795000,2920,3,2,1
785000,3300,4,2.5,2
860000,3060,3,2.25,2
1095000,3064,0,0,3.5
147500,1530,3,1,1
390000,1910,3,2,1
229000,1020,3,1,1
185000,1150,3,1,1
414900,1260,3,1.5,1
200000,1920,4,2,1
225000,1800,4,2.25,1
720000,2040,3,1.75,2
930000,2200,4,2.5,2
1270000,3200,5,2.5,1
700000,2400,5,3.25,2
466000,1140,2,1.5,3
374000,1330,3,1.5,1
480000,1940,3,2.5,2
740000,3000,3,2.5,2
1010000,1820,4,1,1.5
395000,2910,4,2.5,2
340000,1090,2,1,1
209000,1230,3,2,2
431650,1710,5,2.5,1.5
980000,3160,5,2.5,1
660000,2680,3,2.5,2
730000,2190,4,2.25,2
291500,1260,3,1.75,1
905000,2970,4,3.5,2
800000,2570,4,2.5,1.5
839900,3810,4,3.5,1
200000,1010,1,1.5,2
300000,1480,3,2,1
530000,1250,3,1.75,1.5
314950,1654,3,2.25,2
255000,1410,3,1.75,1
550000,2160,5,2.75,1
435000,1400,3,1,1
234000,1420,3,1.75,1
615000,2500,4,2.25,1
205000,1410,3,2,1
384000,2100,4,1.75,1
324000,1750,3,2.5,2
645000,2070,3,1.75,1
570000,1570,3,3.25,2
324000,1920,3,2.5,2
270000,1000,2,1,1
290000,2120,5,1.5,1.5
250000,1440,3,2,1
342000,1660,3,1.75,2
255000,1340,3,1.5,1
800000,2380,3,2.25,1
451000,1560,3,1.75,1.5
990000,2780,4,2.5,1
288400,1860,4,2.5,1
420000,2390,3,1.5,2
359000,1370,2,2.75,2
390000,2570,4,3,1
300000,1320,3,2.5,2
545000,2520,5,2.5,1
288349,1250,3,1,1
299900,1560,3,2.25,1
891000,2330,4,2,1.5
1200000,3660,3,2,1
378000,2790,4,2.5,2
299995,1060,2,1,1
253000,2020,3,2.5,1
350000,1580,3,2.25,1
565000,2020,4,3,1.5
315000,970,2,1,1
570000,1490,4,3,1.5
971000,4390,5,3.5,2
915000,2750,5,2.5,1.5
419000,2150,4,1.5,1
260000,1810,4,1.75,1
1321500,2230,3,3,2
369950,2430,3,1,1
1029900,3680,3,2.5,2
435000,1410,5,1,1.5
601000,1330,3,1.75,1
460500,1490,3,1,1
720000,2020,3,2.5,3
851000,3130,4,2.5,2
550000,2670,4,3,2
700000,1980,4,1,1.5
323000,2100,3,1.75,1
345500,1350,3,1,1
378000,2140,4,1.5,1
650000,2208,4,2,3
385000,1010,3,2,1
425000,970,2,1,1
210000,1520,4,2,1.5
630000,2740,4,2.5,2
335000,1570,3,1.75,1
